Wall time,Step,Value
1770974853.7192464,0,47.400001525878906
1770974854.4346862,1,60.57143020629883
1770974855.1416228,2,86.0
1770974855.7776403,3,81.5999984741211
1770974856.4409013,4,120.0
1770974857.132846,5,91.5999984741211
1770974857.8150833,6,101.0
1770974858.5283372,7,200.0
1770974859.2300258,8,200.0
1770974859.9150424,9,200.0
1770974860.5758388,10,200.0
1770974861.2526667,11,200.0
1770974861.9006464,12,200.0
1770974862.574245,13,200.0
1770974863.2112515,14,200.0
1770974863.9088018,15,200.0
1770974864.5802011,16,200.0
1770974865.2190905,17,200.0
1770974865.970665,18,200.0
1770974866.7228167,19,200.0
1770974867.4601629,20,200.0
1770974868.0963805,21,200.0
1770974868.773343,22,200.0
1770974869.4412947,23,200.0
1770974870.1016555,24,200.0
1770974870.767294,25,200.0
1770974871.4317098,26,200.0
1770974872.0561352,27,200.0
1770974872.6995614,28,200.0
1770974873.3430943,29,200.0
1770974874.005671,30,200.0
1770974874.721271,31,200.0
1770974875.3835073,32,200.0
1770974876.05132,33,200.0
1770974876.704054,34,200.0
1770974877.3291743,35,200.0
1770974877.985606,36,200.0
1770974878.6574602,37,200.0
1770974879.3112557,38,200.0
1770974879.9689772,39,200.0
1770974880.6236737,40,200.0
1770974881.6399055,41,200.0
1770974885.3188741,42,200.0
1770974888.6038873,43,200.0
1770974889.2897363,44,200.0
1770974889.979731,45,200.0
1770974890.6704557,46,200.0
1770974891.3322713,47,200.0
1770974892.0284543,48,200.0
1770974892.6495757,49,200.0
1770974893.3347156,50,200.0
1770974894.0930586,51,200.0
1770974894.821042,52,200.0
1770974895.836362,53,200.0
1770974899.5578556,54,200.0
1770974902.9346623,55,200.0
1770974906.6610675,56,200.0
1770974909.0563102,57,200.0
1770974909.7914236,58,200.0
1770974910.5783691,59,200.0
1770974911.4400978,60,200.0
1770974912.9823353,61,200.0
1770974913.6774,62,200.0
1770974914.3541498,63,200.0
1770974915.0303693,64,200.0
1770974915.683576,65,200.0
1770974916.3590324,66,200.0
1770974917.061377,67,200.0
1770974917.7761571,68,200.0
1770974918.4693413,69,200.0
1770974919.1894095,70,200.0
1770974919.8935397,71,200.0
1770974920.5923672,72,200.0
1770974921.2057185,73,200.0
1770974921.8798347,74,200.0
1770974922.515013,75,200.0
1770974923.1823223,76,200.0
1770974923.8956459,77,200.0
1770974924.5813906,78,200.0
1770974925.24635,79,200.0
1770974925.9073682,80,200.0
1770974926.6417766,81,200.0
1770974927.357971,82,200.0
1770974928.0205543,83,200.0
1770974928.6965437,84,200.0
1770974929.3752096,85,200.0
1770974930.0378788,86,200.0
1770974930.7316031,87,200.0
1770974931.404751,88,200.0
1770974932.065941,89,200.0
1770974932.7256465,90,200.0
1770974933.4066076,91,200.0
1770974934.112818,92,200.0
1770974934.8629286,93,200.0
1770974935.5441923,94,200.0
1770974936.2071662,95,200.0
1770974936.932009,96,200.0
1770974937.6269104,97,200.0
1770974938.3118691,98,200.0
1770974938.9652767,99,200.0
