Wall time,Step,Value
1770974941.129511,0,4000.0
1770974942.0525143,1,8054.0
1770974942.930305,2,12106.0
1770974943.7805483,3,16113.0
1770974944.6518514,4,20114.0
1770974945.5674424,5,24116.0
1770974946.5103428,6,28174.0
1770974947.4156373,7,32265.0
1770974948.3284066,8,36265.0
1770974949.2961845,9,40366.0
1770974950.2026289,10,44366.0
1770974951.0878923,11,48565.0
1770974952.0431786,12,52761.0
1770974953.1121078,13,56960.0
1770974954.0419433,14,61146.0
1770974954.9218023,15,65146.0
1770974955.8331554,16,69146.0
1770974956.7699428,17,73336.0
1770974957.6399395,18,77527.0
1770974958.5185244,19,81702.0
1770974959.422577,20,85787.0
1770974960.2467747,21,89858.0
1770974961.1748018,22,94025.0
1770974962.0088975,23,98025.0
1770974963.0188165,24,102025.0
1770974963.8546576,25,106025.0
1770974964.6981997,26,110025.0
1770974965.5121658,27,114025.0
1770974966.346133,28,118025.0
1770974967.1676147,29,122025.0
1770974968.0512094,30,126025.0
1770974968.9619203,31,130209.0
1770974969.794052,32,134392.0
1770974970.6677873,33,138580.0
1770974971.567054,34,142763.0
1770974972.5154278,35,146763.0
1770974973.3687046,36,150763.0
1770974974.2709088,37,154763.0
1770974975.1169643,38,158763.0
1770974975.9202206,39,162763.0
1770974976.771483,40,166763.0
1770974977.613856,41,170763.0
1770974978.4189816,42,174763.0
1770974979.2600658,43,178763.0
1770974980.100856,44,182763.0
1770974980.913896,45,186763.0
1770974981.7771542,46,190763.0
1770974982.6323931,47,194763.0
1770974983.488392,48,198763.0
1770974984.3190515,49,202763.0
1770974985.1726344,50,206763.0
1770974986.0249739,51,210763.0
1770974986.8401911,52,214763.0
1770974987.6868508,53,218763.0
1770974988.6550417,54,222763.0
1770974989.5781565,55,226763.0
1770974990.4513586,56,230763.0
1770974991.3073542,57,234763.0
1770974992.1339672,58,238763.0
1770974993.0287466,59,242855.0
1770974993.9050572,60,246871.0
1770974995.2902048,61,250900.0
1770974996.248695,62,255074.0
1770974997.2501214,63,259225.0
1770974998.1901515,64,263420.0
1770974999.1039448,65,267587.0
1770975000.0939686,66,271707.0
1770975000.984048,67,275707.0
1770975001.7991498,68,279707.0
1770975002.611825,69,283707.0
1770975003.431307,70,287707.0
1770975004.2441115,71,291707.0
1770975005.0820386,72,295707.0
1770975005.9514835,73,299707.0
1770975006.8231442,74,303707.0
1770975007.7290025,75,307707.0
1770975008.6103127,76,311707.0
1770975009.445737,77,315707.0
1770975010.2978027,78,319707.0
1770975011.2469475,79,323707.0
1770975012.0662565,80,327707.0
1770975012.8852134,81,331707.0
1770975013.7108543,82,335707.0
1770975014.6262202,83,339707.0
1770975015.4645157,84,343707.0
1770975016.3108165,85,347707.0
1770975017.148362,86,351707.0
1770975018.0456278,87,355707.0
1770975018.8769948,88,359707.0
1770975019.7076182,89,363707.0
1770975020.6076293,90,367707.0
1770975021.4762955,91,371707.0
1770975022.3104632,92,375707.0
1770975023.1567647,93,379707.0
1770975023.9878116,94,383707.0
1770975024.802782,95,387707.0
1770975025.6358213,96,391707.0
1770975026.4386246,97,395707.0
1770975027.2595,98,399707.0
1770975028.0751045,99,403707.0
