Wall time,Step,Value
1770974853.722708,0,4013.0
1770974854.4378102,1,8047.0
1770974855.146658,2,12084.0
1770974855.7801068,3,16091.0
1770974856.4459248,4,20106.0
1770974857.1400397,5,24170.0
1770974857.821064,6,28201.0
1770974858.5342455,7,32307.0
1770974859.234189,8,36363.0
1770974859.9215844,9,40382.0
1770974860.5807407,10,44452.0
1770974861.2578146,11,48614.0
1770974861.9058852,12,52614.0
1770974862.5801747,13,56614.0
1770974863.2181416,14,60614.0
1770974863.9150531,15,64800.0
1770974864.5855772,16,68800.0
1770974865.2245445,17,72800.0
1770974865.9729078,18,76800.0
1770974866.7282703,19,80800.0
1770974867.4682026,20,84800.0
1770974868.10143,21,88800.0
1770974868.7788124,22,92800.0
1770974869.4467592,23,96800.0
1770974870.108102,24,100800.0
1770974870.7736332,25,104800.0
1770974871.4365096,26,108800.0
1770974872.0612743,27,112800.0
1770974872.702708,28,116800.0
1770974873.3492086,29,120800.0
1770974874.011929,30,124800.0
1770974874.727851,31,128800.0
1770974875.3901224,32,132800.0
1770974876.0564935,33,136800.0
1770974876.7101836,34,140800.0
1770974877.335789,35,144800.0
1770974877.991319,36,148800.0
1770974878.662659,37,152800.0
1770974879.3153825,38,156800.0
1770974879.9720201,39,160800.0
1770974880.6291363,40,164800.0
1770974881.6442287,41,168800.0
1770974885.3250458,42,172800.0
1770974888.6068177,43,176800.0
1770974889.292864,44,180800.0
1770974889.9844046,45,184800.0
1770974890.674675,46,188800.0
1770974891.3361819,47,192800.0
1770974892.0316186,48,196800.0
1770974892.6529388,49,200800.0
1770974893.3397741,50,204800.0
1770974894.0983524,51,208800.0
1770974894.8248422,52,212800.0
1770974895.8418007,53,216800.0
1770974899.5633593,54,220800.0
1770974902.9390707,55,224800.0
1770974906.6870062,56,228800.0
1770974909.0634305,57,232800.0
1770974909.7980347,58,236800.0
1770974910.5845258,59,240800.0
1770974911.4436975,60,244800.0
1770974912.9858172,61,248800.0
1770974913.682493,62,252800.0
1770974914.3571796,63,256800.0
1770974915.035737,64,260800.0
1770974915.6857944,65,264800.0
1770974916.362175,66,268800.0
1770974917.066395,67,272800.0
1770974917.781455,68,276800.0
1770974918.4753976,69,280800.0
1770974919.1938112,70,284800.0
1770974919.896946,71,288800.0
1770974920.5955422,72,292800.0
1770974921.2104115,73,296800.0
1770974921.885323,74,300800.0
1770974922.5237963,75,304800.0
1770974923.1886225,76,308800.0
1770974923.9011524,77,312800.0
1770974924.5838869,78,316800.0
1770974925.2496645,79,320800.0
1770974925.913278,80,324800.0
1770974926.647333,81,328800.0
1770974927.3630002,82,332800.0
1770974928.0236459,83,336800.0
1770974928.7018557,84,340800.0
1770974929.3804471,85,344800.0
1770974930.0433633,86,348800.0
1770974930.737697,87,352800.0
1770974931.4080644,88,356800.0
1770974932.0711832,89,360800.0
1770974932.73113,90,364800.0
1770974933.4130223,91,368800.0
1770974934.1167345,92,372800.0
1770974934.8693173,93,376800.0
1770974935.5514202,94,380800.0
1770974936.2115088,95,384800.0
1770974936.94089,96,388800.0
1770974937.6323035,97,392800.0
1770974938.3161297,98,396800.0
1770974938.9709053,99,400800.0
