Wall time,Step,Value
1770974785.1312637,0,46.22222137451172
1770974785.8376975,1,57.71428680419922
1770974786.5718453,2,58.57143020629883
1770974787.2316148,3,62.28571319580078
1770974787.9201703,4,144.5
1770974788.7027354,5,170.3333282470703
1770974789.429009,6,142.0
1770974790.1211014,7,200.0
1770974790.7962272,8,142.6666717529297
1770974791.45659,9,200.0
1770974792.1278243,10,200.0
1770974792.782234,11,200.0
1770974793.4572084,12,200.0
1770974794.155005,13,200.0
1770974794.8052819,14,200.0
1770974795.4814587,15,200.0
1770974796.1319988,16,200.0
1770974796.8149028,17,172.0
1770974797.4772785,18,153.3333282470703
1770974798.1496391,19,102.5999984741211
1770974798.8365283,20,104.19999694824219
1770974799.5203998,21,129.5
1770974800.2056782,22,83.0
1770974800.8755698,23,137.3333282470703
1770974801.5702624,24,122.75
1770974802.254833,25,122.0
1770974802.926509,26,125.25
1770974803.5953205,27,122.0
1770974804.3054085,28,132.25
1770974804.9926095,29,137.3333282470703
1770974805.6513157,30,172.6666717529297
1770974806.3404765,31,190.6666717529297
1770974807.0001602,32,200.0
1770974807.6679442,33,200.0
1770974808.3183684,34,200.0
1770974808.9415119,35,200.0
1770974809.690172,36,194.0
1770974810.4374726,37,163.0
1770974811.1167758,38,158.0
1770974811.8214006,39,163.3333282470703
1770974812.4820585,40,170.6666717529297
1770974813.1254659,41,164.6666717529297
1770974813.7983727,42,168.0
1770974814.4756649,43,171.6666717529297
1770974815.163849,44,169.3333282470703
1770974815.867274,45,166.3333282470703
1770974816.5458918,46,164.0
1770974817.1860056,47,200.0
1770974817.8418646,48,200.0
1770974818.5036974,49,200.0
1770974819.154875,50,200.0
1770974819.8588598,51,200.0
1770974820.542232,52,200.0
1770974821.225262,53,200.0
1770974821.8971605,54,200.0
1770974822.579534,55,200.0
1770974823.2059162,56,200.0
1770974823.8431308,57,200.0
1770974824.4708776,58,200.0
1770974825.1652899,59,200.0
1770974825.8143382,60,200.0
1770974826.4437563,61,200.0
1770974827.0673478,62,200.0
1770974827.7240307,63,200.0
1770974828.353523,64,200.0
1770974829.000062,65,200.0
1770974829.6365166,66,200.0
1770974830.278067,67,200.0
1770974830.9105582,68,200.0
1770974831.5702338,69,200.0
1770974832.2789745,70,200.0
1770974832.9414802,71,200.0
1770974833.6057544,72,200.0
1770974834.2859478,73,200.0
1770974834.9205742,74,200.0
1770974835.6229334,75,200.0
1770974836.280271,76,200.0
1770974836.9295514,77,200.0
1770974837.5909467,78,200.0
1770974838.2558196,79,200.0
1770974838.8978226,80,200.0
1770974839.5507684,81,200.0
1770974840.2034667,82,200.0
1770974840.897818,83,200.0
1770974841.5595639,84,200.0
1770974842.234457,85,200.0
1770974842.879429,86,200.0
1770974843.5107338,87,200.0
1770974844.1922722,88,200.0
1770974844.891103,89,200.0
1770974845.545074,90,200.0
1770974846.2401628,91,200.0
1770974846.8887808,92,200.0
1770974847.5271676,93,200.0
1770974848.2240636,94,200.0
1770974849.0047498,95,200.0
1770974849.6978264,96,200.0
1770974850.3484323,97,200.0
1770974851.0232024,98,200.0
1770974851.722108,99,200.0
