Wall time,Step,Value
1770974785.1366491,0,4006.0
1770974785.842075,1,8041.0
1770974786.5769234,2,12055.0
1770974787.2371497,3,16129.0
1770974787.9242187,4,20161.0
1770974788.7083178,5,24272.0
1770974789.4349623,6,28405.0
1770974790.126479,7,32510.0
1770974790.8014026,8,36615.0
1770974791.4610713,9,40716.0
1770974792.1327446,10,44876.0
1770974792.7879674,11,48976.0
1770974793.4636805,12,53092.0
1770974794.1600425,13,57092.0
1770974794.8102784,14,61092.0
1770974795.4872024,15,65092.0
1770974796.1372843,16,69092.0
1770974796.8208804,17,73259.0
1770974797.4840822,18,77316.0
1770974798.1547382,19,81393.0
1770974798.8417478,20,85400.0
1770974799.5236516,21,89441.0
1770974800.2105954,22,93569.0
1770974800.8811684,23,97688.0
1770974801.575825,24,101799.0
1770974802.260165,25,105873.0
1770974802.930555,26,109949.0
1770974803.6003213,27,114046.0
1770974804.3101373,28,118056.0
1770974804.9989471,29,122137.0
1770974805.6564624,30,126225.0
1770974806.346318,31,130244.0
1770974807.0054023,32,134315.0
1770974807.673414,33,138498.0
1770974808.3223047,34,142498.0
1770974808.948164,35,146498.0
1770974809.696327,36,150498.0
1770974810.4428952,37,154676.0
1770974811.1217122,38,158790.0
1770974811.8260827,39,162881.0
1770974812.4870508,40,166968.0
1770974813.1306305,41,170971.0
1770974813.7998893,42,174985.0
1770974814.4807906,43,179038.0
1770974815.1697924,44,183168.0
1770974815.872816,45,187302.0
1770974816.552427,46,191316.0
1770974817.1922102,47,195346.0
1770974817.8453178,48,199526.0
1770974818.5083375,49,203526.0
1770974819.158916,50,207628.0
1770974819.865679,51,211813.0
1770974820.5477252,52,215958.0
1770974821.2299755,53,220131.0
1770974821.9019182,54,224232.0
1770974822.5870128,55,228315.0
1770974823.211276,56,232315.0
1770974823.8477607,57,236315.0
1770974824.477123,58,240315.0
1770974825.171366,59,244315.0
1770974825.819413,60,248315.0
1770974826.4476516,61,252315.0
1770974827.074293,62,256315.0
1770974827.730525,63,260315.0
1770974828.3590374,64,264315.0
1770974829.004433,65,268315.0
1770974829.6417642,66,272315.0
1770974830.2835395,67,276315.0
1770974830.9146578,68,280315.0
1770974831.575677,69,284315.0
1770974832.2852683,70,288315.0
1770974832.9470367,71,292315.0
1770974833.6129408,72,296315.0
1770974834.2908003,73,300315.0
1770974834.9259942,74,304315.0
1770974835.6264355,75,308315.0
1770974836.2853818,76,312315.0
1770974836.9356647,77,316315.0
1770974837.596828,78,320315.0
1770974838.2610168,79,324315.0
1770974838.903143,80,328315.0
1770974839.5571685,81,332315.0
1770974840.2079434,82,336513.0
1770974840.9021428,83,340712.0
1770974841.5637825,84,344712.0
1770974842.239792,85,348785.0
1770974842.8835175,86,352877.0
1770974843.5164685,87,356898.0
1770974844.1975114,88,361059.0
1770974844.8966923,89,365215.0
1770974845.5501697,90,369292.0
1770974846.2457347,91,373485.0
1770974846.894294,92,377485.0
1770974847.5321677,93,381485.0
1770974848.2302458,94,385485.0
1770974849.0091877,95,389485.0
1770974849.7029161,96,393485.0
1770974850.353172,97,397485.0
1770974851.030208,98,401485.0
1770974851.7272582,99,405485.0
