Wall time,Step,Value
1770974713.1284554,0,4013.0
1770974713.7939718,1,8029.0
1770974714.5424287,2,12052.0
1770974715.2460768,3,16080.0
1770974715.9591417,4,20101.0
1770974716.6302364,5,24174.0
1770974717.3776555,6,28352.0
1770974718.0655458,7,32407.0
1770974718.8129716,8,36443.0
1770974719.4869494,9,40487.0
1770974720.1847405,10,44570.0
1770974720.8614128,11,48626.0
1770974721.5539525,12,52668.0
1770974722.2247708,13,56714.0
1770974722.8962264,14,60755.0
1770974723.5932138,15,64898.0
1770974724.2361932,16,68915.0
1770974724.9556763,17,72978.0
1770974725.6764777,18,77075.0
1770974726.412862,19,81141.0
1770974727.1469104,20,85141.0
1770974727.8436375,21,89172.0
1770974728.667382,22,93362.0
1770974729.633728,23,97363.0
1770974730.394176,24,101405.0
1770974731.1242995,25,105561.0
1770974731.8619115,26,109728.0
1770974732.551216,27,113900.0
1770974733.2603598,28,118051.0
1770974733.9583411,29,122220.0
1770974734.6584642,30,126251.0
1770974735.3910477,31,130307.0
1770974736.0707436,32,134390.0
1770974736.8011582,33,138478.0
1770974737.4789371,34,142626.0
1770974738.1848621,35,146818.0
1770974738.848726,36,150871.0
1770974739.5053437,37,154990.0
1770974740.2061667,38,159181.0
1770974740.8644025,39,163231.0
1770974741.556705,40,167325.0
1770974742.184657,41,171416.0
1770974742.8314278,42,175485.0
1770974743.5094411,43,179588.0
1770974744.2060285,44,183699.0
1770974744.9177003,45,187781.0
1770974745.5723062,46,191858.0
1770974746.2712224,47,195931.0
1770974747.0118847,48,200048.0
1770974747.7114222,49,204215.0
1770974748.3596804,50,208253.0
1770974749.0356655,51,212446.0
1770974749.7111657,52,216452.0
1770974750.455617,53,220520.0
1770974751.1186318,54,224523.0
1770974751.815029,55,228607.0
1770974752.50443,56,232657.0
1770974753.2086775,57,236795.0
1770974753.877955,58,240830.0
1770974754.536222,59,244956.0
1770974755.22085,60,249078.0
1770974755.930045,61,253169.0
1770974756.6727488,62,257196.0
1770974757.3972921,63,261304.0
1770974758.1745534,64,265325.0
1770974758.944032,65,269392.0
1770974759.6462002,66,273444.0
1770974760.384466,67,277464.0
1770974761.1287518,68,281506.0
1770974761.8108087,69,285681.0
1770974762.536936,70,289869.0
1770974763.2905145,71,294002.0
1770974763.998642,72,298016.0
1770974764.7482235,73,302187.0
1770974765.431796,74,306200.0
1770974766.1346095,75,310349.0
1770974766.82399,76,314499.0
1770974767.5108361,77,318557.0
1770974768.1970596,78,322648.0
1770974768.894803,79,326729.0
1770974769.589522,80,330925.0
1770974770.231626,81,334925.0
1770974770.917437,82,338925.0
1770974771.6921163,83,343122.0
1770974772.406876,84,347122.0
1770974773.1446996,85,351315.0
1770974773.8400738,86,355501.0
1770974774.5034966,87,359501.0
1770974775.2340202,88,363501.0
1770974775.911556,89,367501.0
1770974776.5831025,90,371501.0
1770974777.352075,91,375501.0
1770974778.1083584,92,379501.0
1770974778.85864,93,383501.0
1770974779.6087887,94,387501.0
1770974780.3020902,95,391501.0
1770974781.057295,96,395646.0
1770974781.7244349,97,399744.0
1770974782.3879166,98,403786.0
1770974783.0748672,99,407790.0
