Wall time,Step,Value
1770974686.3932917,0,48.0
1770974686.6233401,1,46.33333206176758
1770974686.8381374,2,59.0
1770974687.0862095,3,94.5
1770974687.3694599,4,79.83333587646484
1770974687.6104448,5,97.83333587646484
1770974687.826872,6,100.25
1770974688.0715537,7,166.0
1770974688.3809588,8,194.6666717529297
1770974688.6473253,9,197.6666717529297
1770974688.8981743,10,200.0
1770974689.1506233,11,192.0
1770974689.3678274,12,200.0
1770974689.6044424,13,200.0
1770974689.8781474,14,194.3333282470703
1770974690.1441545,15,200.0
1770974690.400195,16,167.6666717529297
1770974690.663225,17,168.0
1770974690.9433675,18,126.0
1770974691.18669,19,160.6666717529297
1770974691.4569354,20,187.3333282470703
1770974691.7400486,21,179.3333282470703
1770974691.9871902,22,149.3333282470703
1770974692.401212,23,197.3333282470703
1770974692.6364217,24,200.0
1770974692.8737652,25,186.0
1770974693.1402633,26,161.3333282470703
1770974693.3913467,27,126.5
1770974693.6747673,28,116.5
1770974693.9123564,29,123.25
1770974694.1528544,30,112.25
1770974694.386628,31,109.5
1770974694.6331246,32,108.75
1770974694.862168,33,117.25
1770974695.1176276,34,112.25
1770974695.3811092,35,116.5
1770974695.6521425,36,119.25
1770974695.8926427,37,145.0
1770974696.1315172,38,117.5
1770974696.3751652,39,168.0
1770974696.649302,40,193.0
1770974696.906714,41,200.0
1770974697.1749666,42,183.3333282470703
1770974697.4043694,43,200.0
1770974697.661217,44,200.0
1770974697.959047,45,200.0
1770974698.1926477,46,200.0
1770974698.4036348,47,200.0
1770974698.641283,48,200.0
1770974698.8449702,49,200.0
1770974699.0726962,50,200.0
1770974699.3221483,51,200.0
1770974699.561361,52,195.6666717529297
1770974699.8396978,53,200.0
1770974700.112017,54,200.0
1770974700.3802688,55,200.0
1770974700.591926,56,200.0
1770974700.8298209,57,200.0
1770974701.0841885,58,181.3333282470703
1770974701.338441,59,200.0
1770974701.6307507,60,191.6666717529297
1770974701.8645556,61,148.0
1770974702.1251385,62,129.25
1770974702.3857722,63,138.75
1770974702.6314962,64,141.6666717529297
1770974702.8705752,65,152.3333282470703
1770974703.1122837,66,151.3333282470703
1770974703.3642046,67,200.0
1770974703.6044424,68,200.0
1770974703.8240542,69,200.0
1770974704.036614,70,200.0
1770974704.2493834,71,200.0
1770974704.466858,72,200.0
1770974704.691961,73,200.0
1770974704.9075384,74,200.0
1770974705.1554277,75,190.0
1770974705.411094,76,166.6666717529297
1770974705.6600313,77,156.3333282470703
1770974705.8971665,78,142.3333282470703
1770974706.2495031,79,135.6666717529297
1770974706.5040507,80,131.5
1770974706.7579355,81,122.0
1770974707.012164,82,112.5
1770974707.2277496,83,116.0
1770974707.4756641,84,116.25
1770974707.7099986,85,116.75
1770974707.9733346,86,96.5999984741211
1770974708.2114244,87,111.75
1770974708.4232192,88,110.0
1770974708.664368,89,115.75
1770974708.9001362,90,115.25
1770974709.1578863,91,116.5
1770974709.388149,92,116.25
1770974709.6514757,93,122.75
1770974709.905681,94,120.25
1770974710.15536,95,130.25
1770974710.4000936,96,127.0
1770974710.6662338,97,132.5
1770974710.917179,98,143.3333282470703
1770974711.170492,99,149.0
