Wall time,Step,Value
1770974686.3963275,0,1030.0
1770974686.6265094,1,2049.0
1770974686.8425448,2,3050.0
1770974687.0926425,3,4052.0
1770974687.3733635,4,5057.0
1770974687.6162143,5,6140.0
1770974687.829958,6,7269.0
1770974688.0777395,7,8367.0
1770974688.384491,8,9383.0
1770974688.6509707,9,10428.0
1770974688.9026895,10,11559.0
1770974689.154805,11,12559.0
1770974689.37131,12,13559.0
1770974689.6156468,13,14559.0
1770974689.8805864,14,15559.0
1770974690.1488252,15,16715.0
1770974690.4032204,16,17715.0
1770974690.671542,17,18835.0
1770974690.9489157,18,20030.0
1770974691.2097318,19,21069.0
1770974691.460518,20,22108.0
1770974691.7433062,21,23269.0
1770974691.9915235,22,24430.0
1770974692.407645,23,25604.0
1770974692.6409678,24,26604.0
1770974692.8785193,25,27604.0
1770974693.1460485,26,28716.0
1770974693.4037383,27,29801.0
1770974693.6780207,28,30970.0
1770974693.9296215,29,32071.0
1770974694.1571963,30,33164.0
1770974694.3900573,31,34203.0
1770974694.637596,32,35328.0
1770974694.8648791,33,36400.0
1770974695.1230733,34,37460.0
1770974695.3852859,35,38537.0
1770974695.6568053,36,39610.0
1770974695.8979716,37,40634.0
1770974696.134635,38,41676.0
1770974696.3784,39,42718.0
1770974696.6529527,40,43857.0
1770974696.9110055,41,45049.0
1770974697.17804,42,46180.0
1770974697.4108787,43,47180.0
1770974697.6656792,44,48327.0
1770974697.9620717,45,49486.0
1770974698.1957023,46,50674.0
1770974698.406661,47,51824.0
1770974698.6443415,48,52951.0
1770974698.8491144,49,53951.0
1770974699.0759447,50,54951.0
1770974699.3262637,51,56149.0
1770974699.5659697,52,57149.0
1770974699.845301,53,58320.0
1770974700.1214294,54,59506.0
1770974700.3848972,55,60664.0
1770974700.5959737,56,61664.0
1770974700.833481,57,62824.0
1770974701.0875447,58,63930.0
1770974701.361035,59,64930.0
1770974701.633793,60,66055.0
1770974701.8681126,61,67184.0
1770974702.1283808,62,68207.0
1770974702.3913956,63,69313.0
1770974702.6348383,64,70377.0
1770974702.8746324,65,71439.0
1770974703.1162896,66,72541.0
1770974703.3662796,67,73613.0
1770974703.6072862,68,74713.0
1770974703.8281481,69,75713.0
1770974704.040427,70,76713.0
1770974704.2535105,71,77713.0
1770974704.4703324,72,78713.0
1770974704.6953156,73,79713.0
1770974704.9108725,74,80713.0
1770974705.1582994,75,81713.0
1770974705.4151762,76,82843.0
1770974705.663031,77,83855.0
1770974705.9575932,78,84944.0
1770974706.259393,79,86069.0
1770974706.507432,80,87151.0
1770974706.7645586,81,88154.0
1770974707.0164065,82,89235.0
1770974707.2321827,83,90263.0
1770974707.4804137,84,91379.0
1770974707.7286723,85,92393.0
1770974707.9769878,86,93452.0
1770974708.2156067,87,94505.0
1770974708.42623,88,95529.0
1770974708.6690795,89,96561.0
1770974708.9036584,90,97595.0
1770974709.1624377,91,98636.0
1770974709.3916206,92,99708.0
1770974709.656293,93,100774.0
1770974709.9102085,94,101836.0
1770974710.159244,95,102927.0
1770974710.406637,96,103933.0
1770974710.6694272,97,104949.0
1770974710.9205785,98,106021.0
1770974711.1747098,99,107140.0
