Wall time,Step,Value
1770974661.8644328,0,1023.0
1770974662.0958705,1,2023.0
1770974662.323484,2,3051.0
1770974662.5534554,3,4088.0
1770974662.792953,4,5107.0
1770974663.0055618,5,6112.0
1770974663.2427113,6,7186.0
1770974663.4756458,7,8205.0
1770974663.7245598,8,9268.0
1770974663.9621327,9,10284.0
1770974664.2397697,10,11422.0
1770974664.4695225,11,12433.0
1770974664.715248,12,13490.0
1770974664.9400134,13,14502.0
1770974665.190646,14,15609.0
1770974665.4443166,15,16624.0
1770974665.7085698,16,17687.0
1770974665.9367785,17,18742.0
1770974666.1825879,18,19828.0
1770974666.4619365,19,20913.0
1770974666.6937215,20,22063.0
1770974666.9324722,21,23063.0
1770974667.1730218,22,24218.0
1770974667.4226422,23,25218.0
1770974667.6449902,24,26218.0
1770974667.8583627,25,27218.0
1770974668.0635757,26,28218.0
1770974668.272892,27,29218.0
1770974668.503482,28,30218.0
1770974668.737983,29,31218.0
1770974668.9635978,30,32218.0
1770974669.228292,31,33218.0
1770974669.4774985,32,34218.0
1770974669.7054865,33,35218.0
1770974669.930593,34,36218.0
1770974670.140109,35,37218.0
1770974670.3558807,36,38218.0
1770974670.602769,37,39218.0
1770974670.8323588,38,40218.0
1770974671.052946,39,41218.0
1770974671.2672665,40,42218.0
1770974671.4970996,41,43218.0
1770974671.7244136,42,44218.0
1770974671.9679422,43,45218.0
1770974672.1872,44,46218.0
1770974672.3880186,45,47218.0
1770974672.6209974,46,48218.0
1770974672.8762503,47,49218.0
1770974673.1058912,48,50218.0
1770974673.352926,49,51218.0
1770974673.5879552,50,52218.0
1770974673.79546,51,53218.0
1770974674.0221455,52,54218.0
1770974674.2561202,53,55218.0
1770974674.4681613,54,56218.0
1770974674.6751244,55,57218.0
1770974674.887931,56,58218.0
1770974675.118467,57,59218.0
1770974675.3462725,58,60218.0
1770974675.5686493,59,61218.0
1770974675.8024743,60,62218.0
1770974676.0793886,61,63218.0
1770974676.3125725,62,64218.0
1770974676.5279713,63,65218.0
1770974676.7853038,64,66218.0
1770974677.0033462,65,67218.0
1770974677.2215424,66,68218.0
1770974677.4673092,67,69218.0
1770974677.7579875,68,70218.0
1770974678.0388377,69,71218.0
1770974678.2695596,70,72218.0
1770974678.498961,71,73218.0
1770974678.73729,72,74218.0
1770974678.985743,73,75218.0
1770974679.195929,74,76218.0
1770974679.4106972,75,77218.0
1770974679.6151228,76,78218.0
1770974679.8414392,77,79218.0
1770974680.0643487,78,80218.0
1770974680.2698746,79,81218.0
1770974680.4944332,80,82218.0
1770974680.7268295,81,83218.0
1770974680.9619188,82,84218.0
1770974681.173432,83,85218.0
1770974681.4298117,84,86218.0
1770974681.6519823,85,87218.0
1770974681.864167,86,88218.0
1770974682.1042535,87,89218.0
1770974682.3260868,88,90218.0
1770974682.5600922,89,91218.0
1770974682.806682,90,92218.0
1770974683.0400531,91,93218.0
1770974683.2679365,92,94218.0
1770974683.5170128,93,95218.0
1770974683.744616,94,96218.0
1770974683.9768791,95,97218.0
1770974684.214421,96,98218.0
1770974684.4514952,97,99218.0
1770974684.683013,98,100218.0
1770974684.898214,99,101218.0
