Wall time,Step,Value
1770974636.1887946,0,1014.0
1770974636.428848,1,2050.0
1770974636.648775,2,3067.0
1770974636.8825977,3,4076.0
1770974637.142905,4,5076.0
1770974637.368499,5,6099.0
1770974637.5844557,6,7109.0
1770974637.828663,7,8182.0
1770974638.1189215,8,9183.0
1770974638.3667226,9,10249.0
1770974638.6538358,10,11252.0
1770974638.9643967,11,12373.0
1770974639.2284513,12,13417.0
1770974639.474386,13,14476.0
1770974639.7245996,14,15499.0
1770974640.0088778,15,16500.0
1770974640.235378,16,17510.0
1770974640.479073,17,18608.0
1770974640.734008,18,19613.0
1770974640.9792757,19,20644.0
1770974641.2404346,20,21688.0
1770974641.446328,21,22707.0
1770974641.802502,22,23820.0
1770974642.0681357,23,24913.0
1770974642.340088,24,26010.0
1770974642.6191661,25,27063.0
1770974642.874858,26,28206.0
1770974643.12001,27,29206.0
1770974643.3736134,28,30378.0
1770974643.61683,29,31571.0
1770974643.8283494,30,32571.0
1770974644.12235,31,33756.0
1770974644.4031057,32,34869.0
1770974644.6582124,33,36061.0
1770974644.8953059,34,37061.0
1770974645.129218,35,38204.0
1770974645.365195,36,39349.0
1770974645.626393,37,40494.0
1770974645.8956454,38,41650.0
1770974646.1591856,39,42793.0
1770974646.4001765,40,43877.0
1770974646.6549966,41,44956.0
1770974646.9375734,42,46034.0
1770974647.1833901,43,47043.0
1770974647.4111798,44,48075.0
1770974647.6354897,45,49077.0
1770974647.863141,46,50089.0
1770974648.131931,47,51180.0
1770974648.3691375,48,52217.0
1770974648.6210494,49,53326.0
1770974648.8630936,50,54344.0
1770974649.1056757,51,55406.0
1770974649.3858848,52,56567.0
1770974649.6199276,53,57626.0
1770974649.8703418,54,58677.0
1770974650.0972917,55,59696.0
1770974650.33202,56,60696.0
1770974650.580809,57,61696.0
1770974650.8080888,58,62696.0
1770974651.0297213,59,63696.0
1770974651.270634,60,64696.0
1770974651.5100245,61,65696.0
1770974651.7152207,62,66696.0
1770974651.9404085,63,67696.0
1770974652.1522052,64,68696.0
1770974652.378914,65,69696.0
1770974652.604959,66,70696.0
1770974652.8335629,67,71696.0
1770974653.0412214,68,72696.0
1770974653.2412944,69,73696.0
1770974653.4585934,70,74696.0
1770974653.680917,71,75696.0
1770974653.906126,72,76696.0
1770974654.1144097,73,77696.0
1770974654.4125955,74,78696.0
1770974654.655031,75,79696.0
1770974654.9161794,76,80696.0
1770974655.1653574,77,81696.0
1770974655.3763297,78,82696.0
1770974655.613074,79,83696.0
1770974655.8510892,80,84696.0
1770974656.0804007,81,85696.0
1770974656.2932272,82,86696.0
1770974656.5174963,83,87696.0
1770974656.7468042,84,88696.0
1770974656.9629574,85,89696.0
1770974657.1838315,86,90696.0
1770974657.4112318,87,91696.0
1770974657.6287315,88,92696.0
1770974657.8656704,89,93696.0
1770974658.1232653,90,94696.0
1770974658.3363822,91,95696.0
1770974658.5629485,92,96696.0
1770974658.7723134,93,97696.0
1770974659.0218978,94,98696.0
1770974659.2824335,95,99880.0
1770974659.5430994,96,100880.0
1770974659.75962,97,101880.0
1770974660.0648158,98,103079.0
1770974660.3164067,99,104079.0
