Wall time,Step,Value
1770974610.0230107,0,1005.0
1770974610.262163,1,2022.0
1770974610.4993982,2,3040.0
1770974610.7367442,3,4065.0
1770974610.9524727,4,5067.0
1770974611.1994774,5,6069.0
1770974611.432159,6,7076.0
1770974611.6662574,7,8083.0
1770974611.9114156,8,9089.0
1770974612.1235247,9,10097.0
1770974612.346262,10,11105.0
1770974612.597609,11,12111.0
1770974612.8157458,12,13114.0
1770974613.028588,13,14116.0
1770974613.2614012,14,15120.0
1770974613.4974024,15,16131.0
1770974613.7388253,16,17159.0
1770974613.9537668,17,18183.0
1770974614.19631,18,19196.0
1770974614.457899,19,20236.0
1770974614.6874475,20,21245.0
1770974614.9087763,21,22276.0
1770974615.1352549,22,23276.0
1770974615.363177,23,24290.0
1770974615.596988,24,25303.0
1770974615.8375168,25,26342.0
1770974616.0905232,26,27447.0
1770974616.3265247,27,28449.0
1770974616.543484,28,29454.0
1770974616.7685235,29,30474.0
1770974616.9819067,30,31505.0
1770974617.222181,31,32557.0
1770974617.4461684,32,33588.0
1770974617.702454,33,34590.0
1770974617.9721553,34,35631.0
1770974618.2170854,35,36661.0
1770974618.4683936,36,37708.0
1770974618.6885,37,38721.0
1770974618.922962,38,39735.0
1770974619.1573737,39,40770.0
1770974619.4223442,40,41822.0
1770974619.6903365,41,42929.0
1770974619.9170678,42,43929.0
1770974620.1605632,43,44959.0
1770974620.3919518,44,45994.0
1770974620.7020109,45,47080.0
1770974620.9868815,46,48157.0
1770974621.2479362,47,49186.0
1770974621.5468485,48,50199.0
1770974621.836641,49,51222.0
1770974622.1058514,50,52228.0
1770974622.3665671,51,53231.0
1770974622.6073642,52,54246.0
1770974622.8565924,53,55310.0
1770974623.1442118,54,56414.0
1770974623.446284,55,57503.0
1770974623.7057507,56,58598.0
1770974623.9842734,57,59647.0
1770974624.2614894,58,60846.0
1770974624.5566814,59,61983.0
1770974624.8411381,60,63145.0
1770974625.1250162,61,64145.0
1770974625.4331665,62,65293.0
1770974625.717892,63,66492.0
1770974625.9906232,64,67559.0
1770974626.2569337,65,68624.0
1770974626.5199928,66,69723.0
1770974626.7522564,67,70805.0
1770974626.9709663,68,71818.0
1770974627.2334378,69,72944.0
1770974627.4635105,70,73952.0
1770974627.7679534,71,75111.0
1770974628.0338223,72,76258.0
1770974628.2794926,73,77295.0
1770974628.5242794,74,78372.0
1770974628.7803476,75,79424.0
1770974629.0271177,76,80519.0
1770974629.2549696,77,81609.0
1770974629.5151818,78,82678.0
1770974629.7615201,79,83688.0
1770974630.0351856,80,84748.0
1770974630.277322,81,85749.0
1770974630.5405111,82,86772.0
1770974630.7789874,83,87835.0
1770974631.0273914,84,88835.0
1770974631.2678456,85,89885.0
1770974631.507807,86,90941.0
1770974631.7551763,87,91968.0
1770974632.0098114,88,93009.0
1770974632.2496972,89,94093.0
1770974632.4921134,90,95152.0
1770974632.7147083,91,96161.0
1770974632.9654784,92,97172.0
1770974633.200331,93,98227.0
1770974633.4962785,94,99318.0
1770974633.7476318,95,100361.0
1770974633.978751,96,101391.0
1770974634.2170088,97,102474.0
1770974634.438011,98,103521.0
1770974634.6727881,99,104524.0
