Wall time,Step,Value
1770981648.6288073,0,-654.642822265625
1770981653.8835933,1,-781.3646240234375
1770981659.081411,2,-921.69091796875
1770981664.6157227,3,-799.2665405273438
1770981669.9718554,4,-965.704833984375
1770981675.3955083,5,-1029.2603759765625
1770981680.1175635,6,-942.8291015625
1770981685.2711966,7,-956.294677734375
1770981702.0852377,8,-1115.259033203125
1770981716.1845756,9,-1052.550048828125
1770981733.8054628,10,-1057.159912109375
1770981742.234609,11,-920.3832397460938
1770981746.6208189,12,-973.4166259765625
1770981751.5440543,13,-996.2877807617188
1770981756.9462512,14,-914.6622924804688
1770981762.0973136,15,-890.7798461914062
1770981767.7024937,16,-880.572265625
1770981773.4488175,17,-682.8489379882812
1770981779.8705144,18,-845.0101318359375
1770981786.1977499,19,-753.46630859375
1770981793.0370326,20,-788.2960205078125
1770981798.7783515,21,-669.2620849609375
1770981804.4807158,22,-711.6870727539062
1770981809.6849751,23,-733.53955078125
1770981814.4999444,24,-748.6064453125
1770981818.8270211,25,-700.6051025390625
1770981823.5682487,26,-706.5932006835938
1770981828.8857825,27,-773.4315185546875
1770981833.3234513,28,-611.3297119140625
1770981838.2953537,29,-557.744873046875
1770981843.800533,30,-717.0906982421875
1770981848.750666,31,-627.1968383789062
1770981854.3214803,32,-542.8040771484375
1770981859.27011,33,-517.3682861328125
1770981865.9631848,34,-531.9869384765625
1770981873.0214293,35,-656.5528564453125
1770981878.2355497,36,-468.5289306640625
1770981883.1805418,37,-407.6701965332031
1770981888.476219,38,-450.664794921875
1770981893.4627676,39,-462.4421691894531
1770981898.613427,40,-430.7684326171875
1770981903.899353,41,-553.0139770507812
1770981909.1919327,42,-406.5640869140625
1770981914.733541,43,-546.453857421875
1770981920.5988395,44,-526.752197265625
1770981926.3302872,45,-416.59185791015625
1770981930.9935021,46,-421.41668701171875
1770981935.7575285,47,-329.5426025390625
1770981940.4539404,48,-391.27386474609375
1770981947.199095,49,-420.3055725097656
1770981952.5393283,50,-307.09521484375
1770981957.6503127,51,-396.7734375
1770981963.15336,52,-421.03338623046875
1770981968.3673902,53,-432.6993713378906
1770981973.8844473,54,-312.62451171875
1770981979.4277768,55,-405.57940673828125
1770981984.7281055,56,-360.3367614746094
1770981990.107143,57,-404.85980224609375
1770981994.9858246,58,-382.75994873046875
1770982000.1010816,59,-314.30657958984375
1770982005.4562335,60,-314.8541259765625
1770982010.7697732,61,-350.12310791015625
1770982016.2112803,62,-325.859130859375
1770982021.5501537,63,-410.2723388671875
1770982026.9843278,64,-352.1085510253906
1770982032.426286,65,-374.37506103515625
1770982038.1078825,66,-323.86029052734375
1770982043.931566,67,-269.95135498046875
1770982050.022352,68,-294.96063232421875
1770982055.5956316,69,-305.2963562011719
1770982061.2921226,70,-289.2928161621094
1770982067.006659,71,-377.82177734375
1770982072.6252835,72,-295.76458740234375
1770982078.4968464,73,-306.8976135253906
1770982084.0793777,74,-244.27658081054688
1770982089.4506521,75,-215.72439575195312
1770982094.999388,76,-239.3135528564453
1770982100.4823356,77,-289.0811767578125
1770982106.0141084,78,-227.00494384765625
1770982111.9624913,79,-214.85263061523438
1770982117.381825,80,-230.16543579101562
1770982123.192652,81,-171.24356079101562
1770982129.018682,82,-164.47825622558594
1770982134.568362,83,-333.43414306640625
1770982140.2611933,84,-117.41110229492188
1770982146.183442,85,-210.1449432373047
1770982152.0850663,86,-197.18084716796875
1770982158.0462902,87,-97.56752014160156
1770982163.5253212,88,-193.8741455078125
1770982169.3011923,89,-84.74085998535156
1770982175.091315,90,-39.43073272705078
1770982179.9477427,91,71.20915222167969
1770982184.9387636,92,-37.393829345703125
1770982189.8878698,93,23.278884887695312
1770982194.346569,94,14.1702880859375
1770982198.7552342,95,25.98955726623535
1770982203.3871405,96,3.4634923934936523
1770982208.4155393,97,-44.79119110107422
1770982213.281511,98,21.545387268066406
1770982217.9184768,99,-64.35201263427734
