Wall time,Step,Value
1770976246.5317156,0,-821.127685546875
1770976251.1259983,1,-718.2642822265625
1770976256.2427046,2,-883.9194946289062
1770976261.702585,3,-801.2182006835938
1770976267.2690914,4,-1012.1053466796875
1770976272.7078836,5,-962.894775390625
1770976278.349815,6,-969.2694091796875
1770976283.9039195,7,-979.84716796875
1770976289.3414857,8,-882.5596923828125
1770976294.602271,9,-1044.161376953125
1770976299.8437202,10,-1045.680908203125
1770976304.8112154,11,-853.8148803710938
1770976309.8511066,12,-977.5164794921875
1770976315.5681674,13,-1175.063720703125
1770976322.164525,14,-1102.8663330078125
1770976328.916145,15,-1020.0699462890625
1770976335.6114845,16,-664.9655151367188
1770976341.3096383,17,-816.24755859375
1770976345.9641826,18,-1004.8743896484375
1770976351.2139642,19,-890.540771484375
1770976356.338068,20,-799.197265625
1770976360.9912097,21,-720.1787109375
1770976366.1446388,22,-674.9083251953125
1770976372.353968,23,-819.2197265625
1770976378.967147,24,-617.103759765625
1770976384.3419304,25,-672.8768310546875
1770976390.33102,26,-794.892578125
1770976395.9011903,27,-745.486328125
1770976401.4994733,28,-736.648193359375
1770976406.7257159,29,-634.704345703125
1770976411.8895028,30,-570.8758544921875
1770976416.88061,31,-568.4025268554688
1770976422.0364645,32,-677.7227783203125
1770976427.2616534,33,-631.072998046875
1770976432.567052,34,-595.2723999023438
1770976437.2946494,35,-596.0596923828125
1770976442.6423306,36,-560.0697631835938
1770976447.7145085,37,-631.35546875
1770976452.5273883,38,-536.886474609375
1770976457.2476568,39,-563.2919311523438
1770976462.1393547,40,-483.7994384765625
1770976467.5918276,41,-529.1666259765625
1770976473.0488262,42,-556.4478759765625
1770976478.5677621,43,-535.101806640625
1770976483.6934366,44,-362.0541687011719
1770976489.3428905,45,-597.2733154296875
1770976495.2968335,46,-372.19927978515625
1770976501.248701,47,-632.447509765625
1770976507.0630145,48,-516.4307861328125
1770976512.4372118,49,-426.1023254394531
1770976518.0468984,50,-412.43035888671875
1770976523.6447327,51,-546.1934814453125
1770976529.3000972,52,-592.1605834960938
1770976534.3375027,53,-468.3514709472656
1770976539.65021,54,-740.9525146484375
1770976545.0008187,55,-625.7822265625
1770976550.2909393,56,-599.171875
1770976555.40407,57,-637.2122802734375
1770976560.716171,58,-529.5472412109375
1770976565.9412556,59,-577.5267333984375
1770976570.855038,60,-570.3074951171875
1770976576.1839182,61,-548.0821533203125
1770976581.6810935,62,-554.4507446289062
1770976586.9148388,63,-581.850341796875
1770976592.9875793,64,-595.0833740234375
1770976599.8281324,65,-664.1686401367188
1770976605.7735746,66,-475.2305603027344
1770976611.4307158,67,-516.743408203125
1770976617.0591118,68,-378.637451171875
1770976622.2945735,69,-571.98583984375
1770976627.7952251,70,-579.3839721679688
1770976633.2223866,71,-534.6149291992188
1770976638.6805668,72,-437.211181640625
1770976644.3696826,73,-416.69189453125
1770976649.6182976,74,-408.2703857421875
1770976655.0410335,75,-438.494873046875
1770976660.2533035,76,-389.72393798828125
1770976665.1646392,77,-483.0915222167969
1770976669.8433006,78,-453.5111999511719
1770976675.1719224,79,-408.8271484375
1770976679.7315097,80,-480.19915771484375
1770976684.5799987,81,-435.62445068359375
1770976689.7448118,82,-387.6988830566406
1770976694.8413894,83,-376.28253173828125
1770976699.9097013,84,-384.67132568359375
1770976704.9614944,85,-329.470458984375
1770976710.06949,86,-447.4037170410156
1770976715.5892406,87,-417.74578857421875
1770976721.1412373,88,-372.4895324707031
1770976726.7795355,89,-176.25372314453125
1770976732.3632858,90,-429.73663330078125
1770976737.8499696,91,-335.59893798828125
1770976743.3744748,92,-394.24951171875
1770976749.0438168,93,-358.24578857421875
1770976754.5802956,94,-423.242431640625
1770976760.475169,95,-318.7257385253906
1770976766.2098603,96,-517.0965576171875
1770976771.8302531,97,-349.863037109375
1770976777.1505096,98,-466.19854736328125
1770976782.3001552,99,-389.51531982421875
