Wall time,Step,Value
1770982521.7995722,0,-179.6645965576172
1770982524.4426336,1,-204.78677368164062
1770982527.0146601,2,-95.84782409667969
1770982531.4055188,3,-158.10818481445312
1770982533.956674,4,-146.80467224121094
1770982536.667052,5,-184.6799774169922
1770982544.878004,6,-136.530517578125
1770982555.4253776,7,-206.89895629882812
1770982562.5647852,8,-141.77291870117188
1770982565.7590144,9,-167.55160522460938
1770982568.6626077,10,-145.94435119628906
1770982571.5484045,11,-78.04994201660156
1770982574.5422401,12,-159.79745483398438
1770982577.669122,13,-93.39665222167969
1770982580.7997923,14,-87.35902404785156
1770982586.2381375,15,-184.0155029296875
1770982596.7247455,16,-111.99015808105469
1770982603.8791063,17,-129.42591857910156
1770982607.0405395,18,-156.9597625732422
1770982617.7596283,19,-207.74229431152344
1770982626.5572608,20,-122.5222396850586
1770982631.0215864,21,-104.13436889648438
1770982635.1585453,22,-112.48446655273438
1770982639.6835873,23,6.598745822906494
1770982655.462689,24,61.422340393066406
1770982662.4995542,25,-251.57159423828125
1770982671.204641,26,-81.52428436279297
1770982678.9571526,27,-151.03323364257812
1770982683.192035,28,-221.84803771972656
1770982688.249917,29,-114.53973388671875
1770982693.2957695,30,-71.59930419921875
1770982700.252063,31,-46.687255859375
1770982705.7865121,32,14.170101165771484
1770982710.1959732,33,-26.748838424682617
1770982714.2234092,34,-32.6688346862793
1770982718.2207499,35,-28.73637580871582
1770982722.2269077,36,-45.2065544128418
1770982726.5400193,37,-78.03762817382812
1770982730.0921478,38,-59.8374137878418
1770982734.017647,39,7.95655632019043
1770982738.0973172,40,-178.57244873046875
1770982748.1603525,41,-80.45528411865234
1770982757.1551385,42,-106.07760620117188
1770982761.9823935,43,-81.3260498046875
1770982766.86722,44,-15.843034744262695
1770982770.890781,45,-132.8421173095703
1770982775.7383385,46,-93.0042495727539
1770982780.1448402,47,-30.59859848022461
1770982783.8108044,48,-193.35406494140625
1770982788.0380251,49,144.20684814453125
1770982792.0089645,50,-97.94046020507812
1770982796.4050043,51,-145.77601623535156
1770982801.5402896,52,-15.168643951416016
1770982807.388722,53,-100.34953308105469
1770982811.6566606,54,-215.84896850585938
1770982816.0897305,55,-52.607505798339844
1770982821.5386128,56,73.30602264404297
1770982826.2269213,57,-118.46449279785156
1770982831.9409235,58,68.01300811767578
1770982837.3217561,59,-240.68490600585938
1770982841.529155,60,-178.63502502441406
1770982845.458542,61,196.36538696289062
1770982850.199232,62,126.58877563476562
1770982854.3104908,63,-14.243518829345703
1770982860.5422301,64,-92.38262176513672
1770982866.229953,65,136.16844177246094
1770982872.3522568,66,-59.45793151855469
1770982877.2924824,67,-116.70506286621094
1770982884.157662,68,-7.909523010253906
1770982889.0382488,69,-143.8319854736328
1770982896.403685,70,-46.24323272705078
1770982904.1460009,71,153.38973999023438
1770982910.53793,72,-50.35527420043945
1770982916.2161226,73,-40.10588073730469
1770982924.8894207,74,-234.82070922851562
1770982930.748079,75,-157.94174194335938
1770982936.993002,76,-39.354331970214844
1770982943.2339323,77,110.16637420654297
1770982950.93664,78,-93.85121154785156
1770982970.7171247,79,-58.29449462890625
1770982978.7971876,80,142.62994384765625
1770982988.7825518,81,195.2101287841797
1770982995.2629826,82,-1.8553390502929688
1770983002.7020874,83,97.7685546875
1770983008.9409494,84,226.00640869140625
1770983016.565791,85,151.98892211914062
1770983024.1328309,86,39.35780334472656
1770983031.7675886,87,11.410545349121094
1770983038.9115102,88,112.56816101074219
1770983046.6091092,89,-21.764892578125
1770983053.3269,90,-16.101730346679688
1770983060.2048788,91,-133.4303436279297
1770983069.1952748,92,-30.435256958007812
1770983077.0648892,93,11.012725830078125
1770983085.0779853,94,-24.497982025146484
1770983092.3597014,95,69.53005981445312
1770983099.2914617,96,-3.672595977783203
1770983106.577986,97,-48.023536682128906
1770983114.2414663,98,-28.251361846923828
1770983120.2787986,99,-65.09529876708984
1770983126.9672914,100,-62.267364501953125
1770983132.8934216,101,-71.51679992675781
1770983139.3379233,102,-86.36080932617188
1770983145.827753,103,-10.025104522705078
1770983153.3783102,104,42.571083068847656
1770983160.7068212,105,-4.252344131469727
1770983166.9769065,106,192.20547485351562
1770983176.964996,107,-9.569234848022461
1770983184.3007636,108,10.504695892333984
1770983190.9400795,109,3.8538780212402344
1770983199.9322677,110,30.64801788330078
1770983206.8571107,111,-64.92852783203125
1770983213.7665403,112,-40.818023681640625
1770983220.8294704,113,17.464305877685547
1770983227.743499,114,-27.370223999023438
1770983234.4989147,115,-47.823665618896484
1770983240.8145661,116,-34.273155212402344
1770983248.0437229,117,-39.90806198120117
1770983254.1935482,118,-48.86198043823242
1770983261.33472,119,-60.034454345703125
1770983267.7287798,120,-65.80587768554688
1770983274.227475,121,-84.97245788574219
1770983281.6100929,122,-104.73747253417969
1770983288.5784948,123,-25.356304168701172
1770983295.665351,124,-11.837745666503906
1770983302.74628,125,-16.728961944580078
1770983310.4919136,126,-25.980140686035156
1770983316.9956617,127,-15.713134765625
1770983323.419854,128,38.77470779418945
1770983330.7395916,129,0.7171392440795898
1770983336.9036202,130,-171.79066467285156
1770983342.9603958,131,-118.54934692382812
1770983349.7676363,132,-73.50386810302734
1770983355.9824572,133,-33.17820739746094
1770983363.3425162,134,-84.86668395996094
1770983370.1904397,135,-70.23493194580078
1770983375.0431263,136,-72.64967346191406
1770983387.7945697,137,-138.21929931640625
1770983405.5136592,138,-93.52555847167969
1770983413.3704004,139,-73.77935791015625
1770983420.554682,140,-93.62174987792969
1770983426.8164852,141,-20.325687408447266
1770983433.015489,142,-62.09035110473633
1770983439.8545287,143,55.90062713623047
1770983445.9572988,144,-67.93193817138672
1770983451.666798,145,24.17340087890625
1770983457.9322708,146,-19.169170379638672
1770983464.5099308,147,-54.03221893310547
1770983471.0750895,148,-53.365150451660156
1770983478.1591196,149,0.2854728698730469
1770983484.1897483,150,16.798137664794922
1770983490.951193,151,-32.70841979980469
1770983497.0883894,152,-83.51557922363281
1770983502.9570138,153,7.354152679443359
1770983510.115101,154,-51.761383056640625
1770983527.0431054,155,-64.46365356445312
1770983539.5322433,156,-100.39570617675781
1770983546.9872375,157,-69.29065704345703
1770983553.9121587,158,-81.75664520263672
1770983560.8384564,159,-46.341434478759766
1770983567.130869,160,-35.14778137207031
1770983573.209741,161,-77.01043701171875
1770983580.8510213,162,-61.42919921875
1770983586.69883,163,-73.05590057373047
1770983594.0217638,164,-55.04374694824219
1770983599.6853063,165,-51.903629302978516
1770983605.9574926,166,-16.87616539001465
1770983612.8806765,167,-35.561279296875
1770983618.9710639,168,-9.357284545898438
1770983626.5747268,169,-56.76756286621094
1770983633.7383914,170,-51.07294464111328
1770983640.794893,171,-9.24692153930664
1770983647.78923,172,-58.22864532470703
1770983654.1368613,173,-31.603832244873047
1770983659.9989512,174,-28.759841918945312
1770983666.8391075,175,-20.805801391601562
1770983675.1643672,176,-76.54693603515625
1770983682.7227693,177,-77.93120574951172
1770983690.7096574,178,-136.056396484375
1770983699.9560578,179,-103.98530578613281
1770983706.8220265,180,-115.67605590820312
1770983713.6734262,181,-150.0555419921875
1770983720.8166673,182,-63.80104064941406
1770983729.3438704,183,-80.88726043701172
1770983735.3554544,184,151.2587890625
1770983742.0792162,185,9.397350311279297
1770983748.2325895,186,12.372493743896484
1770983755.1694841,187,56.504127502441406
1770983762.235273,188,73.3272705078125
1770983769.2470496,189,58.44334411621094
1770983776.5534878,190,-114.1604995727539
1770983785.168304,191,82.79466247558594
1770983791.445596,192,95.55774688720703
1770983797.569341,193,0.5944557189941406
1770983804.3112051,194,-12.951171875
1770983811.0637722,195,-21.86670684814453
1770983818.1807175,196,-57.05656814575195
1770983823.9361045,197,-96.48258209228516
1770983829.4889674,198,-83.40360260009766
1770983835.9497578,199,-26.467758178710938
1770983843.461323,200,-7.6108245849609375
1770983849.4405618,201,-58.7472038269043
1770983856.615975,202,-30.830829620361328
1770983863.406535,203,-75.41941833496094
1770983871.458602,204,-59.55699157714844
1770983878.6840172,205,-72.7816162109375
1770983885.9499233,206,-56.339691162109375
1770983892.781104,207,0.4342613220214844
1770983900.5683315,208,-69.68072509765625
1770983906.3992188,209,3.930622100830078
1770983915.3201306,210,-75.67742156982422
1770983924.2628095,211,-35.217323303222656
1770983933.7110772,212,-34.113922119140625
1770983943.0917332,213,2.175640106201172
1770983950.7571573,214,-14.012016296386719
1770983958.230483,215,-70.14442443847656
1770983967.1231024,216,-107.48703002929688
1770983973.7415574,217,-69.45667266845703
1770983981.737781,218,-65.81197357177734
1770983997.8846855,219,-16.044246673583984
1770984006.4598596,220,-26.776493072509766
1770984013.8578606,221,-25.798831939697266
1770984021.2205393,222,-61.833290100097656
1770984027.7702477,223,-12.106842041015625
1770984035.2551122,224,-47.75177001953125
1770984042.1651313,225,-75.47975158691406
1770984049.7517807,226,-54.3228874206543
1770984056.311199,227,-57.28131103515625
1770984063.1044853,228,-48.97606658935547
1770984068.2679086,229,-31.51163101196289
1770984075.9190588,230,-27.80791473388672
1770984083.975769,231,-30.274372100830078
1770984091.7809145,232,-96.89495849609375
1770984108.1999993,233,-60.31117248535156
1770984114.3491826,234,-96.85347747802734
1770984121.7509623,235,-111.35978698730469
1770984128.9573627,236,-52.08769989013672
1770984137.183257,237,-44.97795867919922
1770984146.021023,238,-18.92398452758789
1770984152.3939748,239,-30.181224822998047
1770984158.9794786,240,26.720413208007812
1770984164.8650508,241,-59.469146728515625
1770984171.034282,242,-26.29960060119629
1770984177.2020977,243,-20.091567993164062
1770984183.3148024,244,-63.10987091064453
1770984191.8814883,245,-34.53087615966797
1770984199.15112,246,-9.233280181884766
1770984206.9615262,247,7.000583648681641
1770984213.5124607,248,-38.0201530456543
1770984219.6420956,249,-18.44012451171875
1770984226.1556437,250,-37.90208435058594
1770984233.2637691,251,-33.25586700439453
1770984240.3667028,252,-18.540508270263672
1770984248.0874934,253,-28.572223663330078
1770984255.5642817,254,-77.55626678466797
1770984281.4896555,255,-98.36920166015625
1770984292.427472,256,-71.71006774902344
1770984298.84697,257,-56.74120330810547
1770984306.079239,258,-62.650875091552734
1770984313.068436,259,-100.35245513916016
