Wall time,Step,Value
1770987121.247426,0,2010.0
1770987123.811975,1,4081.0
1770987126.3385296,2,6181.0
1770987128.7734027,3,8270.0
1770987131.3862398,4,10390.0
1770987134.3803275,5,12408.0
1770987137.1957068,6,14425.0
1770987140.5795312,7,16498.0
1770987143.269959,8,18510.0
1770987146.08591,9,20605.0
1770987148.9049673,10,22707.0
1770987151.8574085,11,24796.0
1770987154.659436,12,26829.0
1770987157.424268,13,28829.0
1770987161.0517864,14,30938.0
1770987163.913356,15,32982.0
1770987166.8717682,16,35062.0
1770987169.5046382,17,37067.0
1770987172.3254387,18,39194.0
1770987175.5594144,19,41268.0
1770987178.3862877,20,43360.0
1770987181.398589,21,45411.0
1770987184.2700138,22,47443.0
1770987187.058389,23,49478.0
1770987190.1924753,24,51549.0
1770987192.9706385,25,53570.0
1770987195.8129458,26,55616.0
1770987198.937631,27,57707.0
1770987201.992364,28,59809.0
1770987205.4367707,29,61911.0
1770987208.2224855,30,63952.0
1770987212.3237436,31,65976.0
1770987215.3270285,32,68100.0
1770987218.3789067,33,70217.0
1770987221.5007946,34,72380.0
1770987224.5198328,35,74470.0
1770987227.943332,36,76675.0
1770987232.3473475,37,78781.0
1770987235.4389617,38,80854.0
1770987238.4899037,39,82911.0
1770987241.7788463,40,84931.0
1770987246.4102538,41,87218.0
1770987250.150887,42,89298.0
1770987253.23296,43,91370.0
1770987258.6195166,44,94102.0
1770987261.575931,45,96137.0
1770987266.769063,46,98692.0
1770987272.0423188,47,100750.0
1770987277.4912665,48,103683.0
1770987281.2773604,49,105843.0
1770987287.5534728,50,107932.0
1770987291.484073,51,110008.0
1770987297.9761114,52,112134.0
1770987305.9497697,53,114717.0
1770987313.2288322,54,117059.0
1770987320.8197007,55,119066.0
1770987328.6893053,56,121696.0
1770987335.4265826,57,123850.0
1770987340.955732,58,126608.0
1770987346.9605875,59,128608.0
1770987353.4769995,60,131555.0
1770987360.3422024,61,133719.0
1770987366.9916465,62,136263.0
1770987371.743361,63,138494.0
1770987378.663486,64,141268.0
1770987384.6633937,65,143460.0
1770987391.177475,66,145715.0
1770987396.5608525,67,148432.0
1770987402.340716,68,150595.0
1770987406.8380427,69,152764.0
1770987412.0608864,70,155528.0
1770987415.887206,71,157655.0
1770987420.660037,72,160251.0
1770987426.5464084,73,162521.0
1770987432.5063183,74,165217.0
1770987436.569977,75,167295.0
1770987441.8183234,76,169539.0
1770987447.7187781,77,171835.0
1770987453.8329194,78,173835.0
1770987459.948611,79,176132.0
1770987464.7668984,80,178638.0
1770987471.7591438,81,180638.0
1770987477.5230494,82,182638.0
1770987484.344806,83,185573.0
1770987490.8989656,84,187573.0
1770987496.6427767,85,189573.0
1770987501.8348682,86,191667.0
1770987509.100818,87,194485.0
1770987513.816525,88,196846.0
