Wall time,Step,Value
1770982484.2979386,0,2053.0
1770982486.6229599,1,4075.0
1770982488.919916,2,6130.0
1770982491.4328732,3,8241.0
1770982494.0107143,4,10408.0
1770982496.6200275,5,12441.0
1770982499.574984,6,14463.0
1770982502.2592404,7,16479.0
1770982513.153286,8,18551.0
1770982524.5861442,9,20624.0
1770982530.4855845,10,22711.0
1770982539.2867472,11,24757.0
1770982548.793445,12,26775.0
1770982551.6591644,13,28858.0
1770982554.5045347,14,30883.0
1770982557.2749586,15,32976.0
1770982560.3916652,16,35099.0
1770982565.488569,17,37275.0
1770982569.9882636,18,39758.0
1770982573.263316,19,41822.0
1770982576.7289429,20,44018.0
1770982580.1328645,21,46064.0
1770982585.7701237,22,48199.0
1770982599.5258007,23,50623.0
1770982608.3251762,24,52708.0
1770982620.785436,25,54730.0
1770982626.6416843,26,56770.0
1770982631.4181237,27,58823.0
1770982635.378145,28,60843.0
1770982642.0015545,29,63031.0
1770982657.5131814,30,65222.0
1770982665.5176632,31,67248.0
1770982677.876512,32,69350.0
1770982682.2339635,33,71438.0
1770982690.105978,34,73438.0
1770982694.4628723,35,75555.0
1770982701.9152584,36,77833.0
1770982705.7261689,37,79901.0
1770982709.828419,38,81958.0
1770982718.3812332,39,84355.0
1770982724.8573315,40,87348.0
1770982731.118368,41,89922.0
1770982735.879824,42,92150.0
1770982752.3538573,43,94975.0
1770982758.3516986,44,96984.0
1770982763.9981608,45,99205.0
1770982767.4177508,46,101252.0
1770982771.620987,47,103300.0
1770982776.0444417,48,105633.0
1770982779.330519,49,107836.0
1770982783.1024957,50,110240.0
1770982787.040666,51,112261.0
1770982790.3839204,52,114403.0
1770982795.7006505,53,116792.0
1770982798.8889475,54,118955.0
1770982801.8835802,55,121000.0
1770982806.4892788,56,123781.0
1770982811.1659038,57,126640.0
1770982814.4385707,58,128856.0
1770982817.8620014,59,131008.0
1770982821.5093498,60,133061.0
1770982824.828437,61,135184.0
1770982828.589267,62,137252.0
1770982831.8978324,63,139291.0
1770982835.2958014,64,141597.0
1770982839.0779433,65,143623.0
1770982842.8362334,66,145707.0
1770982846.538216,67,147787.0
1770982850.527658,68,149969.0
1770982856.2003503,69,152862.0
1770982859.3615339,70,155002.0
1770982862.6676352,71,157082.0
1770982867.1691513,72,159413.0
1770982871.0073714,73,161735.0
1770982874.211914,74,163835.0
1770982878.079705,75,166129.0
1770982881.7579172,76,168293.0
1770982885.6107824,77,170458.0
1770982888.7849662,78,172537.0
1770982894.427398,79,174901.0
1770982898.705574,80,177123.0
1770982902.0585275,81,179206.0
1770982905.7229998,82,181313.0
1770982909.1601675,83,183485.0
1770982915.08692,84,186273.0
1770982918.2505076,85,188388.0
1770982921.7974315,86,190659.0
1770982926.3565438,87,193471.0
1770982930.806895,88,196119.0
1770982934.00961,89,198169.0
1770982937.312917,90,200292.0
1770982940.3135176,91,202488.0
1770982943.7984636,92,204675.0
