Wall time,Step,Value
1770997934.719001,0,5006.0
1770997937.830588,1,10019.0
1770997941.0618145,2,15057.0
1770997944.25772,3,20091.0
1770997947.4599037,4,25128.0
1770997950.505487,5,30149.0
1770997953.506948,6,35170.0
1770997956.7096276,7,40207.0
1770997959.780929,8,45217.0
1770997962.934734,9,50244.0
1770997966.1691737,10,55253.0
1770997969.3471148,11,60365.0
1770997972.5964909,12,65376.0
1770997975.8206525,13,70411.0
1770997978.8603294,14,75444.0
1770997982.1334772,15,80535.0
1770997985.5770588,16,85555.0
1770997989.2405863,17,90567.0
1770997993.1786194,18,95640.0
1770997997.0717876,19,100751.0
1770998000.941387,20,105756.0
1770998005.1421528,21,110851.0
1770998009.3143985,22,115964.0
1770998013.4072073,23,121068.0
1770998017.4108894,24,126210.0
1770998021.370975,25,131277.0
1770998025.149474,26,136294.0
1770998029.1006851,27,141482.0
1770998032.5179513,28,146498.0
1770998035.8208287,29,151539.0
1770998039.2058187,30,156602.0
1770998042.5873406,31,161754.0
1770998046.1844606,32,166868.0
1770998049.567462,33,172269.0
1770998052.773077,34,177341.0
1770998056.234315,35,182574.0
1770998059.572481,36,187830.0
1770998063.0425763,37,192949.0
1770998066.6352348,38,198128.0
1770998069.9055996,39,203128.0
1770998073.5150409,40,208747.0
1770998076.7977343,41,213837.0
1770998080.4337912,42,219097.0
1770998083.8801363,43,224097.0
1770998087.0740025,44,229097.0
1770998090.9918056,45,234904.0
1770998094.3929982,46,239904.0
1770998097.6137843,47,244904.0
1770998101.0678668,48,249904.0
1770998104.3042886,49,254904.0
1770998107.5495138,50,260075.0
1770998110.900067,51,265075.0
1770998114.5864658,52,270751.0
1770998118.0828352,53,275911.0
1770998121.72968,54,281553.0
1770998124.9964383,55,286553.0
1770998128.3699589,56,291553.0
1770998131.6904905,57,296553.0
1770998135.0618496,58,301553.0
1770998139.9542952,59,306553.0
1770998145.6375396,60,312426.0
1770998150.657218,61,317426.0
1770998155.6734858,62,322426.0
1770998160.638359,63,327426.0
1770998165.6794782,64,332426.0
1770998170.4320958,65,337426.0
1770998174.9833503,66,342426.0
1770998179.8405972,67,347830.0
1770998184.6504023,68,353037.0
1770998190.1464972,69,358789.0
1770998194.9138029,70,363789.0
1770998199.8137157,71,368789.0
1770998205.931694,72,374727.0
1770998209.2081563,73,379727.0
1770998212.5907702,74,385359.0
1770998216.5454013,75,391305.0
1770998219.634381,76,396305.0
1770998223.0057604,77,401330.0
1770998226.2420082,78,406341.0
1770998229.981799,79,412209.0
1770998233.8385575,80,418003.0
1770998236.7469716,81,423133.0
1770998239.8438768,82,428227.0
1770998243.1744,83,433366.0
1770998246.4714313,84,438366.0
1770998249.632155,85,443366.0
1770998253.078599,86,448366.0
1770998256.382939,87,453366.0
1770998260.1632204,88,459070.0
1770998263.9556074,89,464614.0
1770998267.3403296,90,469614.0
1770998270.7541504,91,474614.0
1770998274.0971496,92,479614.0
1770998277.2784789,93,484614.0
1770998280.5535738,94,489614.0
1770998283.600073,95,494614.0
1770998286.884521,96,499614.0
1770998290.0305157,97,504614.0
1770998293.284863,98,509625.0
1770998296.5203786,99,514641.0
