Wall time,Step,Mean Return
1770782758.8470871,0,4429.59423828125
1770782761.288024,1,4638.38427734375
1770782763.784321,2,4729.16943359375
1770782766.300857,3,4735.7197265625
1770782768.757123,4,4740.5556640625
1770782771.188643,5,4799.1826171875
1770782773.666347,6,4754.2939453125
1770782776.168909,7,4412.48095703125
1770782778.625812,8,4650.876953125
1770782781.183637,9,4743.375
1770782783.728483,10,4401.29345703125
1770782786.21051,11,4719.18896484375
1770782788.727884,12,4710.884765625
1770782791.315789,13,4729.11767578125
1770782793.902411,14,4728.3564453125
1770782796.4826722,15,4728.8232421875
1770782799.020891,16,4641.6572265625
1770782801.841717,17,4492.10791015625
1770782804.511872,18,4383.69921875
1770782807.088205,19,4750.1044921875
1770782809.66926,20,4757.3876953125
1770782812.292299,21,4704.4423828125
1770782814.9809148,22,4728.5888671875
1770782817.826422,23,4620.1875
1770782820.470728,24,4617.03515625
1770782823.133213,25,4721.2470703125
1770782825.816235,26,4660.80908203125
1770782828.533717,27,4755.68505859375
1770782831.163197,28,4686.4296875
1770782833.809782,29,4441.3271484375
1770782836.518958,30,4794.23486328125
1770782839.3432,31,4546.1865234375
1770782843.2194781,32,4346.0693359375
1770782845.934965,33,4679.72412109375
1770782848.7764149,34,4384.376953125
1770782851.500343,35,4720.2333984375
1770782854.24417,36,4420.88330078125
1770782857.025485,37,4718.85888671875
1770782859.815278,38,4692.93212890625
1770782862.5737998,39,4778.2587890625
1770782865.418476,40,4717.7138671875
1770782868.1901782,41,4735.08056640625
1770782871.103734,42,4766.904296875
1770782874.040407,43,4752.05517578125
1770782876.879534,44,4771.99169921875
1770782879.804302,45,4697.0458984375
1770782882.647897,46,4568.09326171875
1770782885.501503,47,4669.03271484375
1770782888.3455172,48,4697.1123046875
1770782891.324517,49,4547.595703125
