Wall time,Step,Std Return
1770736435.549294,0,7.2415852546691895
1770736436.978236,1,605.7672729492188
1770736438.4592981,2,6.461241245269775
1770736439.957047,3,3.944368839263916
1770736441.3768709,4,2.766279697418213
1770736442.806166,5,56.31544876098633
1770736444.239928,6,3.049586534500122
1770736445.6889899,7,2.6432878971099854
1770736447.1461902,8,2.7692012786865234
1770736448.6131048,9,4.961872100830078
1770736450.093685,10,4.168964862823486
1770736451.573505,11,3.012420177459717
1770736453.055018,12,2.3895809650421143
1770736454.547055,13,1.2238574028015137
1770736456.045036,14,2.057342767715454
1770736457.559424,15,2.905787467956543
1770736459.0823832,16,2.960557460784912
1770736460.6316411,17,2.1602938175201416
1770736462.1819992,18,2.5580410957336426
1770736463.7412758,19,2.3863794803619385
1770736465.305494,20,1.7400633096694946
1770736466.879345,21,2.711198091506958
1770736468.566619,22,990.31103515625
1770736470.167723,23,4.596705913543701
1770736471.824362,24,2.6845974922180176
1770736473.441129,25,3.1009652614593506
1770736475.0740511,26,3.907136917114258
1770736476.696703,27,6.0786566734313965
1770736478.355058,28,1.8399299383163452
1770736479.9944901,29,3.384615421295166
1770736481.667618,30,1.9883372783660889
1770736483.322046,31,4.071987628936768
1770736485.024023,32,3.091858386993408
1770736486.864345,33,2.168285608291626
1770736488.559874,34,2.888434410095215
1770736490.26447,35,3.8057260513305664
1770736491.9776242,36,3.3995304107666016
1770736493.8312619,37,3.839592933654785
1770736495.566179,38,4.123713970184326
1770736497.346316,39,2.981727123260498
1770736499.10037,40,4.59147834777832
1770736500.864991,41,3.6239335536956787
1770736502.636832,42,3.979910373687744
1770736504.416119,43,2.578972339630127
1770736506.200812,44,2.535111904144287
1770736507.996625,45,2.656764030456543
1770736509.8007948,46,3.715956449508667
1770736511.604178,47,3.4993419647216797
1770736513.425864,48,2.423450231552124
1770736515.249026,49,4.121921539306641
